,Date,Open,High,Low,Close,Volume
0,01/01/1996,18.691147,18.978922,18.540184,18.82324,43733533.0
1,02/01/1996,18.894005,18.964767,17.738192,18.224106,56167280.0
2,03/01/1996,18.327892,18.568489,17.643839,17.738192,68296318.0
3,04/01/1996,17.502312,17.832542,17.223972,17.676863,86073880.0
4,05/01/1996,17.738192,17.785366,17.459852,17.577793,76613039.0
5,08/01/1996,17.478724,17.643839,16.922047,17.063574,55395172.0
6,09/01/1996,16.889023,18.681711,16.705036,17.99766,82057540.0
7,10/01/1996,17.407959,17.714603,17.054138,17.172079,54360749.0
8,11/01/1996,16.983376,17.926895,16.983376,17.827826,65973105.0
9,12/01/1996,17.879719,18.23354,17.573074,17.837261,102152486.0
10,15/01/1996,18.021248,18.200518,17.785366,17.893871,68169665.0
11,16/01/1996,17.903307,19.530882,17.785366,18.27128,92497161.0
12,17/01/1996,17.856131,17.974072,17.455135,17.521181,65477620.0
13,18/01/1996,17.318325,17.624969,17.124903,17.40324,67620657.0
14,19/01/1996,17.290018,17.672146,17.290018,17.610815,47652365.0
15,22/01/1996,17.738192,18.31374,17.700451,18.224106,81512772.0
16,23/01/1996,18.389221,18.771347,18.162777,18.417526,130297068.0
17,24/01/1996,17.832542,17.926895,17.351349,17.794804,54484752.0
18,25/01/1996,18.115601,18.275997,17.879719,17.964636,67701207.0
19,26/01/1996,17.964636,17.964636,17.964636,17.964636,0.0
20,29/01/1996,18.162777,18.960051,18.073141,18.7855,75689901.0
21,30/01/1996,19.05912,19.700714,18.58736,19.205366,89163372.0
22,31/01/1996,18.776064,19.129885,18.214668,18.54962,56831282.0
23,01/02/1996,18.422243,19.625233,18.422243,19.469551,96599349.0
24,02/02/1996,19.861113,20.946161,19.719585,20.81407,106010376.0
25,05/02/1996,21.08769,22.880381,21.08769,22.125563,160942920.0
26,06/02/1996,22.455795,23.163437,21.79533,22.314266,147345446.0
27,07/02/1996,21.597193,22.361443,20.757458,21.922707,67480756.0
28,08/02/1996,21.988752,22.903969,21.578321,22.545429,52796395.0
29,09/02/1996,22.76244,24.460777,22.352009,24.13998,74580228.0
30,12/02/1996,23.871077,24.267357,22.455795,22.724699,81608160.0
31,13/02/1996,22.668089,23.106825,22.031212,22.847357,83711982.0
32,14/02/1996,23.682373,24.045628,23.399317,23.517256,52251098.0
33,15/02/1996,23.399317,23.776726,23.139849,23.380445,40662588.0
34,16/02/1996,23.205894,23.253071,22.677523,22.833204,41113559.0
35,19/02/1996,22.927555,23.304964,22.880381,22.988886,29196493.0
36,20/02/1996,23.021908,23.040777,22.087822,22.271809,30560533.0
37,21/02/1996,22.271809,22.271809,22.271809,22.271809,0.0
38,22/02/1996,22.682241,22.970015,22.550148,22.889814,21638101.0
39,23/02/1996,22.927555,23.35214,22.578453,23.229483,46653977.0
40,26/02/1996,23.776726,24.37586,23.691809,23.847488,71998409.0
41,27/02/1996,23.965429,24.106956,23.493668,23.805031,62652564.0
42,28/02/1996,24.154133,24.342836,23.78616,23.833336,36609684.0
43,29/02/1996,23.682373,23.772007,22.361443,22.672806,71030227.0
44,01/03/1996,22.927555,23.154001,22.644501,22.951143,49598798.0
45,04/03/1996,23.021908,23.111544,22.172739,22.71998,40613835.0
46,05/03/1996,22.71998,22.71998,22.71998,22.71998,0.0
47,06/03/1996,22.748287,23.106825,22.691675,22.993603,22160082.0
48,07/03/1996,23.116261,23.323835,22.76244,22.847357,31303495.0
49,08/03/1996,22.649218,22.734135,22.276527,22.635065,39637704.0
50,11/03/1996,22.172739,22.361443,21.83779,22.116129,39109363.0
51,12/03/1996,22.092541,22.186892,21.889683,22.083105,27429706.0
52,13/03/1996,22.073669,22.686958,21.960447,22.611477,27421227.0
53,14/03/1996,22.691675,22.889814,22.465231,22.587889,36343129.0
54,15/03/1996,22.550148,22.597324,22.125563,22.182175,29065070.0
55,18/03/1996,21.984035,22.120846,21.535864,21.60191,27165271.0
56,19/03/1996,21.60191,21.87553,20.474401,21.012209,35581619.0
57,20/03/1996,21.012209,21.012209,21.012209,21.012209,0.0
58,21/03/1996,21.42264,21.842506,21.42264,21.677391,13650996.0
59,22/03/1996,21.441511,21.606627,21.064102,21.441511,23179668.0
60,25/03/1996,21.606627,21.884966,21.479252,21.583038,22524674.0
61,26/03/1996,21.597193,21.700979,20.927292,21.417923,24039214.0
62,27/03/1996,21.700979,22.031212,21.700979,21.814201,14674821.0
63,28/03/1996,21.814201,23.116261,21.856661,22.177458,15454878.0
64,29/03/1996,22.314266,22.408621,22.031212,22.21048,21249133.0
65,01/04/1996,21.700979,22.927555,21.700979,22.809616,40137428.0
66,02/04/1996,23.120977,23.871077,22.517124,23.531408,53712115.0
67,03/04/1996,23.871077,24.290943,23.776726,23.852205,48630086.0
68,04/04/1996,23.776726,23.847488,23.45121,23.781443,40702863.0
69,05/04/1996,23.781443,23.781443,23.781443,23.781443,0.0
70,08/04/1996,24.625893,25.333534,24.390013,25.041042,67392257.0
71,09/04/1996,25.286358,26.078917,24.630611,25.215593,123803836.0
72,10/04/1996,25.097654,25.427885,24.644764,24.805162,70021770.0
73,11/04/1996,24.531542,24.946692,24.408884,24.74855,76341715.0
74,12/04/1996,24.814598,25.418451,24.635328,25.338251,68621695.0
75,15/04/1996,25.847754,26.456324,25.701508,26.093067,88429949.0
76,16/04/1996,26.097786,27.362104,25.993999,26.805428,96678839.0
77,17/04/1996,26.984695,27.173401,26.654463,27.003567,63548145.0
78,18/04/1996,27.550808,28.58868,27.475327,28.433001,100389409.0
79,19/04/1996,28.58868,29.697317,28.447153,29.074594,129471967.0
80,22/04/1996,29.626554,29.650143,28.593399,28.791538,120420233.0
81,23/04/1996,28.423565,29.008549,28.140509,28.489611,156792508.0
82,24/04/1996,29.249146,30.192665,29.249146,30.06529,101305658.0
83,25/04/1996,31.230539,31.891005,29.154795,29.862434,131851353.0
84,26/04/1996,29.711472,30.371935,28.451872,29.348215,162657244.0
85,29/04/1996,28.961372,29.230274,28.583963,29.093466,93379495.0
86,30/04/1996,29.107616,29.107616,27.956522,28.187685,102988185.0
87,01/05/1996,28.871737,29.117052,28.53207,28.650009,60334650.0
88,02/05/1996,28.541506,29.390675,27.574396,28.083897,90601602.0
89,03/05/1996,27.645161,27.810276,26.819578,26.961107,125929915.0
90,06/05/1996,26.248749,26.418583,25.2439,25.394863,148646954.0
91,07/05/1996,25.286358,26.319513,25.286358,25.913799,185128395.0
92,08/05/1996,25.286358,26.645027,23.776726,26.229879,165100221.0
93,09/05/1996,25.805296,26.701639,25.574133,25.795858,199096820.0
