,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-01,1.125,1.125,1.125,1.125,0.910127,19999.0
1,1996-01-02,1.0375,1.0375,1.0375,1.0375,0.83934,39999.0
2,1996-01-03,1.075,1.075,1.075,1.075,0.869678,19999.0
3,1996-01-04,1.075,1.075,1.075,1.075,0.869678,119999.0
4,1996-01-05,1.075,1.075,1.075,1.075,0.869678,0.0
5,1996-01-08,1.075,1.075,1.075,1.075,0.869678,0.0
6,1996-01-09,1.0825,1.0825,1.075,1.075,0.869678,39999.0
7,1996-01-10,1.075,1.0765,1.075,1.0765,0.870891,59999.0
8,1996-01-11,1.0765,1.0875,1.065,1.075,0.869678,79999.0
9,1996-01-12,1.075,1.075,1.075,1.075,0.869678,19999.0
10,1996-01-15,1.075,1.075,1.075,1.075,0.869678,0.0
11,1996-01-16,1.05,1.05,1.05,1.05,0.849452,19999.0
12,1996-01-17,1.05,1.05,1.05,1.05,0.849452,0.0
13,1996-01-18,1.05,1.07,1.07,1.07,0.865633,19999.0
14,1996-01-19,1.055,1.055,1.05,1.05,0.849452,39999.0
15,1996-01-22,1.030125,1.07,1.030125,1.07,0.865633,99999.0
16,1996-01-23,1.07,1.05,1.05,1.05,0.849452,79999.0
17,1996-01-24,1.0475,1.05,1.0475,1.05,0.849452,39999.0
18,1996-01-25,1.04875,1.05125,1.0375,1.05,0.849452,619999.0
19,1996-01-26,1.05,1.05,1.05,1.05,0.849452,0.0
20,1996-01-29,1.0375,1.05125,1.0375,1.05,0.849452,439999.0
21,1996-01-30,1.05,1.049875,1.000125,1.041375,0.842475,119999.0
22,1996-01-31,1.041375,1.041375,1.041375,1.041375,0.842475,0.0
23,1996-02-01,1.041375,1.041375,1.041375,1.041375,0.842475,0.0
24,1996-02-02,1.0625,1.075,1.0625,1.075,0.869678,39999.0
25,1996-02-05,1.075,1.075,1.075,1.075,0.869678,0.0
26,1996-02-06,1.05,1.05,1.05,1.05,0.849452,79999.0
